title,link,description,published_at
Remains found after wildfire identified as mother-of-three missing since 2019,https://www.bbc.co.uk/news/articles/c9e8e21x3vp4o?at_medium=RSS&at_campaign=rss,A 56-year-old man is arrested after the remains of Joanne Sheen were found in London almost seven years after she went missing.,"Thu, 17 Sep 2026 15:08:05 GMT"
"Charles 'sounded giddily elated' after Diana died, Earl Spencer claims",https://www.bbc.co.uk/news/articles/cqkg083ve78ro?at_medium=RSS&at_campaign=rss,Buckingham Palace has strongly pushed back against claims in a new book by the late Princess of Wales's brother.,"Fri, 18 Sep 2026 02:55:18 GMT"
War may be coming. Are we psychologically ready?,https://www.bbc.co.uk/news/articles/cmn0jke547r5o?at_medium=RSS&at_campaign=rss,"The military and government say the risk of conflict is growing, but we may not be mentally ready for it","Thu, 17 Sep 2026 23:22:17 GMT"
US fans with Ed Sheeran tickets left 'torn' over Macklemore controversy,https://www.bbc.co.uk/news/articles/c6rer05nqlx5o?at_medium=RSS&at_campaign=rss,"With Sheeran's next gig this weekend, some ticket holders said they were in two minds about going.","Fri, 18 Sep 2026 00:38:03 GMT"
UN experts say grounds to believe US committed war crimes in Iran strikes,https://www.bbc.co.uk/news/articles/cm9w4n5nverdo?at_medium=RSS&at_campaign=rss,The US has not acknowledged carrying out February's deadly strikes on a primary school in Minab and a sports complex in Lamerd.,"Thu, 17 Sep 2026 20:34:30 GMT"
British woman rescued in Malawi shootout that left four suspected kidnappers dead,https://www.bbc.co.uk/news/articles/cmlyrzz2gpw4o?at_medium=RSS&at_campaign=rss,"Police exchanged fire with the suspected kidnappers, who were armed with an AK-47 rifle and a pistol.","Fri, 18 Sep 2026 02:41:43 GMT"
New wild cat species discovered - with only one known living member,https://www.bbc.co.uk/news/articles/c6x2zgv9rr4ro?at_medium=RSS&at_campaign=rss,A spotted wildcat long mistaken for relatives has been identified as a new species in Bolivia.,"Thu, 17 Sep 2026 23:15:55 GMT"
Badenoch says she is bringing in lawyers to challenge government after Tory-run council's 94% tax hike,https://www.bbc.co.uk/news/articles/cw4gq87ed6n3o?at_medium=RSS&at_campaign=rss,"A row is growing over Wandsworth Council's rise, which the local authority is blaming on government funding cuts.","Fri, 18 Sep 2026 00:13:56 GMT"
Watch: Can humpback whales experience grief?,https://www.bbc.co.uk/news/videos/c6p93mn44m42o?at_medium=RSS&at_campaign=rss,Rare footage captured by researchers off Australia's Gold Coast suggests humpback whale mothers may experience grief when their calves die.,"Thu, 17 Sep 2026 22:10:03 GMT"
Archbishop of Canterbury withdraws award from Muslim cleric who praised Osama bin Laden,https://www.bbc.co.uk/news/articles/ckr50lrz5e6zo?at_medium=RSS&at_campaign=rss,"The award was handed out last week, on the anniversary of the 9/11 attacks.","Thu, 17 Sep 2026 20:08:02 GMT"
Not just 'Nice Guy Eddie': Lib Dems eager for leader to show radical side at party conference,https://www.bbc.co.uk/news/articles/cq4grjdz8xv5o?at_medium=RSS&at_campaign=rss,"There is a sizeable group of Lib Dem MPs who openly question whether the party's problem is with its leader, while others support his stance.","Fri, 18 Sep 2026 00:18:23 GMT"
Sunshine to return to parts of UK with warmer and drier weather on way,https://www.bbc.co.uk/weather/articles/cwr50l32rr6yo?at_medium=RSS&at_campaign=rss,High pressure over the UK next week will bring a break from the wet and windy weather so far this month.,"Fri, 18 Sep 2026 00:34:10 GMT"
Why we bought our first home with a 100% mortgage - despite the risks,https://www.bbc.co.uk/news/articles/cvj64w204y58o?at_medium=RSS&at_campaign=rss,The share of UK mortgages with smaller deposits is the highest it's been since 2008. The BBC spoke to borrowers about how they manage the risks.,"Thu, 17 Sep 2026 23:00:53 GMT"
Weekly quiz: Why did women's sports stars criticise actress Sydney Sweeney?,https://www.bbc.co.uk/news/articles/cmgrvdyxwz0go?at_medium=RSS&at_campaign=rss,How much attention did you pay to what happened in the world over the past seven days?,"Thu, 17 Sep 2026 18:52:26 GMT"
Learner drivers turn to YouTube and TikTok to cut costs - but instructors warn of risks,https://www.bbc.co.uk/news/articles/cvgjnz7md4lo?at_medium=RSS&at_campaign=rss,"One learner says social media clips saved her money, but there was also misinformation online.","Thu, 17 Sep 2026 21:11:37 GMT"
This Olympic river has 500 crocodiles in it - but that's not the main concern,https://www.bbc.co.uk/news/articles/c68xkypqyxw7o?at_medium=RSS&at_campaign=rss,"Queensland's Fitzroy River has been selected for the 2032 Games, despite concerns over the course - and its inhabitants.","Thu, 17 Sep 2026 23:29:17 GMT"
The Papers: 'Giddy King' and 'war of words' over Earl Spencer book,https://www.bbc.co.uk/news/articles/c6wyz87j9ge4o?at_medium=RSS&at_campaign=rss,Most papers feature the latest from the royal feud on the second day of Diana's brother Earl Spencer's book being serialised in the Daily Mail.,"Thu, 17 Sep 2026 23:17:30 GMT"
The big questions for Tuchel's first England squad since World Cup,https://www.bbc.co.uk/sport/football/articles/cq804jkle8j3o?at_medium=RSS&at_campaign=rss,"Before Thomas Tuchel names his first squad since the World Cup on Friday, BBC Sport looks at the big questions facing the England boss.","Thu, 17 Sep 2026 16:47:18 GMT"
